Date,Merchant,Amount
2024-01-15,Acme Grocery Store,42.50
2024-01-16,QuickFuel Gas Station,35.00
2024-01-17,StreamFlix Monthly,12.99
2024-01-18,Acme Grocery Store,65.30
2024-01-19,CloudHost Services,25.00
2024-01-20,Unknown Coffee Shop,8.50
2024-01-21,MegaMart Supermarket,102.45
2024-01-22,ElectroPay Utility,150.00
2024-01-23,QuickFuel Gas Station,40.00
2024-01-24,StreamFlix Monthly,12.99
2024-01-25,Mystery Vendor LLC,75.00
2024-01-26,Acme Grocery Store,55.20
2024-01-27,ElectroPay Utility,150.00
2024-01-28,CloudHost Services,25.00
2024-01-29,RandomPlace Store,22.50
