Date,Reference,Amount,Description
2024-01-15,RCP-001,125.50,Card Payment - Customer Sale
2024-01-16,RCP-002,89.99,Cash Payment - Customer Sale
2024-01-17,RCP-003,200.00,Card Payment - Customer Sale
2024-01-19,RCP-005,310.25,Card Payment - Customer Sale
2024-01-20,RCP-006,67.80,Cash Payment - Customer Sale
2024-01-21,RCP-011,275.00,Card Payment - Customer Sale
2024-01-22,RCP-007,155.00,Card Payment - Customer Sale
2024-01-24,RCP-009,178.45,Cash Payment - Customer Sale
2024-01-25,RCP-010,420.00,Card Payment - Customer Sale
2024-01-26,RCP-012,95.50,Card Payment - Customer Sale
