Date,Amount,Merchant,Category,Notes
2024-01-15,100.00,Acme Corp,Supplies,Office supplies order
2024-01-16,50.00,QuickFuel,Fuel,Weekly gas fill
2024-01-17,75.50,MegaMart,Grocery,Weekly groceries
2024-01-18,200.00,CloudHost,Services,Monthly hosting
2024-01-19,15.99,StreamFlix,Streaming,Monthly subscription
2024-01-20,45.00,Shell Station,Fuel,Gas for delivery
2024-01-21,120.00,Whole Foods,Grocery,Organic produce
2024-01-22,300.00,Office Depot,Supplies,Printer and paper
2024-01-23,25.00,Coffee Shop,Food,Team meeting
2024-01-24,85.00,ElectroPay,Utilities,Monthly electric
