Date,Merchant,Amount,Category,MatchStatus
2024-01-15,Starbucks Coffee,45.50,Food & Drink,matched
2024-01-16,Amazon.com,120.00,Shopping,matched
2024-01-17,Shell Gas Station,85.00,Transport,unmatched
2024-01-18,Uber Eats,55.20,Food & Drink,matched
2024-01-19,SHELL GAS STATION #234,90.00,Transport,unmatched
2024-01-20,Netflix Subscription,15.99,Entertainment,matched
2024-01-21,Unknown Merchant 123,200.00,Unknown,unmatched
2024-01-22,Shell - Gas Station,87.50,Transport,unmatched
2024-01-23,Walmart,65.30,Shopping,unknown
2024-01-24,Unknown Merchant 456,150.00,Unknown,unmatched
